# x_m,y_m,w_tr_right_m,w_tr_left_m
879.911746,-1925.96564,6,6
884.0133936,-1933.15476,6,6
887.7668657,-1940.66726,6,6
891.5165886,-1948.18331,6,6
894.9798575,-1955.9339,6,6
898.3989301,-1963.71907,6,6
901.6758657,-1971.61024,6,6
904.95291,-1979.50157,6,6
908.0224483,-1987.53527,6,6
910.9176707,-1995.67716,6,6
913.4698264,-2004.02191,6,6
916.0219718,-2012.3665,6,6
918.4374206,-2020.78146,6,6
920.3898829,-2029.38772,6,6
922.0083512,-2038.13047,6,6
923.626214,-2046.87338,6,6
925.5966316,-2055.48188,6,6
926.6182856,-2064.38119,6,6
927.6399264,-2073.2805,6,6
928.6195871,-2082.18568,6,6
929.0180681,-2091.17259,6,6
929.4165357,-2100.15951,6,6
929.8149905,-2109.14627,6,6
930.0153875,-2118.14081,6,6
930.3713955,-2127.12125,6,6
930.9836847,-2136.08656,6,6
931.3006753,-2145.0437,6,6
930.3700411,-2153.96548,6,6
929.8542467,-2162.92487,6,6
929.8218236,-2171.92815,6,6
928.7628474,-2180.81612,6,6
927.6131292,-2189.69403,6,6
926.3367449,-2198.53182,6,6
924.2698657,-2207.1187,6,6
922.2032105,-2215.70556,6,6
919.9891363,-2224.19928,6,6
916.4498657,-2231.88074,6,6
913.6573752,-2240.10469,6,6
910.8396494,-2248.30617,6,6
905.997839,-2254.67082,6,6
901.2669442,-2261.14732,6,6
897.8618764,-2268.96167,6,6
893.5080056,-2275.83391,6,6
888.7408981,-2282.2956,6,6
883.9681177,-2288.75015,6,6
879.0770314,-2295.04265,6,6
873.7788657,-2300.7417,6,6
868.4817109,-2306.44073,6,6
863.1841161,-2312.13977,6,6
857.5970933,-2317.30751,6,6
851.6705707,-2321.80208,6,6
845.7440491,-2326.2965,6,6
839.8175275,-2330.79106,6,6
833.4255288,-2333.93697,6,6
826.9693957,-2336.90111,6,6
820.5139081,-2339.8651,6,6
813.9589908,-2342.03932,6,6
807.2048588,-2343.06977,6,6
800.5063395,-2344.85834,6,6
793.8044794,-2346.59719,6,6
786.9727599,-2346.57245,6,6
780.1522272,-2346.99617,6,6
773.3369697,-2347.64821,6,6
766.5287843,-2347.71988,6,6
759.7302664,-2346.85076,6,6
752.9230323,-2346.18968,6,6
746.1208657,-2345.36979,6,6
739.3188262,-2344.5499,6,6
732.5167306,-2343.73001,6,6
725.7218513,-2342.81969,6,6
718.9360012,-2341.79595,6,6
712.1501561,-2340.77222,6,6
705.3643158,-2339.74848,6,6
698.5784799,-2338.7249,6,6
691.7926494,-2337.70117,6,6
685.0068238,-2336.67744,6,6
678.2208657,-2335.65371,6,6
671.4351868,-2334.63014,6,6
664.6493759,-2333.60642,6,6
657.86357,-2332.58269,6,6
651.0777689,-2331.55897,6,6
644.2910762,-2330.54621,6,6
637.4951131,-2329.6501,6,6
630.6983442,-2328.754,6,6
623.9019857,-2327.8579,6,6
617.1056321,-2326.9618,6,6
610.3092834,-2326.0657,6,6
603.5129397,-2325.16961,6,6
596.7166009,-2324.27351,6,6
591.3544067,-2323.62727,6,6
585.9922162,-2322.98086,6,6
580.6300281,-2322.33462,6,6
575.2678432,-2321.68837,6,6
569.9166357,-2320.95881,6,6
564.6997404,-2319.21052,6,6
559.4627456,-2317.58272,6,6
554.1747225,-2316.24924,6,6
548.8871358,-2314.91592,6,6
543.5995518,-2313.5826,6,6
538.3119712,-2312.24912,6,6
533.0243928,-2310.91581,6,6
527.7368177,-2309.58234,6,6
522.4431798,-2308.29346,6,6
517.1307099,-2307.14266,6,6
511.8182434,-2305.99171,6,6
506.5058657,-2304.84091,6,6
501.1933185,-2303.68997,6,6
495.8808601,-2302.53917,6,6
490.5676375,-2301.38822,6,6
485.2559526,-2300.23744,6,6
479.9525571,-2299.03497,6,6
474.7917942,-2297.01988,6,6
469.6310643,-2295.00494,6,6
464.4702747,-2292.98986,6,6
459.309518,-2290.97492,6,6
454.1487636,-2288.95999,6,6
448.9242021,-2287.26975,6,6
443.6648868,-2285.75659,6,6
438.5693007,-2283.55606,6,6
433.5916568,-2280.86017,6,6
428.6140143,-2278.16428,6,6
423.6363734,-2275.4684,6,6
418.658734,-2272.77252,6,6
413.6810955,-2270.0768,6,6
408.7034592,-2267.38092,6,6
403.7258243,-2264.68505,6,6
398.7477211,-2261.98933,6,6
393.7705585,-2259.29347,6,6
388.7929282,-2256.59761,6,6
383.8125043,-2253.91115,6,6
378.7821867,-2251.39014,6,6
373.8053167,-2248.71466,6,6
369.035725,-2245.43209,6,6
364.2654025,-2242.14952,6,6
359.4957268,-2238.86696,6,6
354.7260517,-2235.5844,6,6
349.9561719,-2232.30246,6,6
345.1203496,-2229.19038,6,6
340.2864405,-2226.07816,6,6
335.4506383,-2222.96609,6,6
330.6154627,-2219.85387,6,6
325.8843385,-2216.48781,6,6
321.2514993,-2212.88178,6,6
316.6186602,-2209.27575,6,6
311.9858207,-2205.66989,6,6
307.352982,-2202.06387,6,6
302.7201429,-2198.45801,6,6
298.0845858,-2194.85801,6,6
293.44624,-2191.26433,6,6
288.8078939,-2187.6708,6,6
284.1695486,-2184.07713,6,6
279.5312034,-2180.48346,6,6
274.8928657,-2176.8898,6,6
270.2545132,-2173.29629,6,6
265.6161687,-2169.70264,6,6
260.9778244,-2166.10898,6,6
256.3398657,-2162.51549,6,6
251.7066022,-2158.90982,6,6
247.1081165,-2155.2285,6,6
242.5795715,-2151.40295,6,6
238.1381465,-2147.403,6,6
233.6959534,-2143.4029,6,6
229.2538657,-2139.4028,6,6
224.8115734,-2135.4027,6,6
220.3693867,-2131.40261,6,6
215.9271995,-2127.40252,6,6
211.4850119,-2123.40243,6,6
207.0434611,-2119.40236,6,6
202.6008657,-2115.40228,6,6
198.1584453,-2111.40236,6,6
193.8718657,-2107.11745,6,6
189.5871899,-2102.8304,6,6
185.30218,-2098.54335,6,6
181.0174587,-2094.2563,6,6
176.7321572,-2089.96926,6,6
172.4471443,-2085.68222,6,6
168.1621303,-2081.39518,6,6
163.8771152,-2077.10815,6,6
159.5920991,-2072.82112,6,6
155.3070819,-2068.5341,6,6
151.1662729,-2064.01716,6,6
147.1618657,-2059.2823,6,6
143.1580572,-2054.5476,6,6
139.1539467,-2049.81275,6,6
135.1498342,-2045.07791,6,6
131.1457192,-2040.34322,6,6
127.1416027,-2035.60839,6,6
123.1374842,-2030.87356,6,6
119.1378536,-2026.13288,6,6
115.5138855,-2020.89331,6,6
111.8903189,-2015.65374,6,6
108.2659399,-2010.41418,6,6
104.811967,-2005.01254,6,6
102.1724352,-1998.83406,6,6
100.3838941,-1992.28942,6,6
99.76433767,-1985.24194,6,6
99.16786212,-1978.19654,6,6
100.5735918,-1971.34261,6,6
101.9790171,-1964.48852,6,6
103.2185292,-1957.58073,6,6
104.8363116,-1950.84378,6,6
107.0374506,-1944.36157,6,6
109.2385836,-1937.87921,6,6
111.4397096,-1931.397,6,6
113.6408291,-1924.91479,6,6
115.8419427,-1918.43242,6,6
118.0434165,-1911.9502,6,6
120.24415,-1905.46782,6,6
122.4452438,-1898.9856,6,6
124.6463343,-1892.50321,6,6
126.8474339,-1886.02098,6,6
129.0485275,-1879.53859,6,6
131.249614,-1873.05635,6,6
133.4506947,-1866.57396,6,6
135.7709615,-1860.16438,6,6
138.1092279,-1853.76566,6,6
140.4474875,-1847.36709,6,6
142.7857414,-1840.96837,6,6
145.1239892,-1834.56964,6,6
147.4618657,-1828.17106,6,6
149.8004655,-1821.77233,6,6
152.1384068,-1815.37359,6,6
154.4769175,-1808.97485,6,6
156.6998657,-1802.50809,6,6
158.7960216,-1795.9657,6,6
