x_m,y_m,w_tr_right_m,w_tr_left_m
5179.817132,1869.985055,4,4
5179.737166,1873.61429,4,4
5179.374745,1878.641896,4,4
5178.841863,1884.20815,4,4
5177.61514,1891.484276,4,4
5172.08711,1923.409298,4,4
5170.864661,1934.53491,4,4
5171.079595,1941.182463,4,4
5171.633677,1945.896067,4,4
5172.863734,1952.193577,4,4
5174.563881,1957.454811,4,4
5179.021023,1965.745818,4,4
5183.906487,1973.035058,4,4
5199.851353,1995.457722,4,4
5232.604833,2041.214467,4,4
5236.976411,2047.393884,4,4
5244.104123,2056.04683,4,4
5250.187663,2061.334512,4,4
5254.811214,2064.458622,4,4
5260.630692,2067.606118,4,4
5267.118391,2070.468577,4,4
5276.284176,2072.646906,4,4
5284.90465,2074.127889,4,4
5292.863713,2074.035699,4,4
5303.562811,2072.389898,4,4
5313.313894,2069.623696,4,4
5319.127401,2067.008149,4,4
5328.600866,2062.124394,4,4
5371.132171,2038.303476,4,4
5381.339237,2033.444558,4,4
5390.15156,2030.425645,4,4
5400.170535,2027.563383,4,4
5410.376848,2025.052127,4,4
5435.948951,2019.278788,4,4
5448.629946,2016.189165,4,4
5460.871195,2012.62187,4,4
5530.943598,1988.995345,4,4
5549.612921,1979.992679,4,4
5557.816263,1974.431468,4,4
5565.679936,1968.145096,4,4
5574.278748,1960.09218,4,4
5580.88749,1952.382094,4,4
5586.075979,1945.566926,4,4
5591.902859,1936.298003,4,4
5606.07148,1912.852737,4,4
5613.293507,1902.544977,4,4
5620.370176,1893.709766,4,4
5627.504577,1887.020323,4,4
5637.789111,1879.467358,4,4
5648.287663,1873.521923,4,4
5659.533215,1868.101597,4,4
5670.959292,1863.043599,4,4
5680.551992,1859.659305,4,4
5685.356597,1858.406418,4,4
5690.361008,1857.704462,4,4
5701.748163,1857.02008,4,4
5722.228579,1855.546151,4,4
5733.912562,1853.463117,4,4
5739.759305,1851.803991,4,4
5744.518221,1850.174104,4,4
5748.204067,1848.328286,4,4
5751.699977,1846.298432,4,4
5757.653086,1841.977367,4,4
5762.610145,1837.393796,4,4
5769.067971,1831.201151,4,4
5831.854577,1755.783012,4,4
5852.583809,1728.846776,4,4
5857.638842,1719.954935,4,4
5861.770762,1711.132388,4,4
5864.483803,1703.260266,4,4
5866.175043,1696.817446,4,4
5867.239149,1690.602857,4,4
