Segment_ID;road_outer_left X;road_outer_left Y;road_outer_left Z;road_inner_left X;road_inner_left Y;road_inner_left Z;road_center X;road_center Y;road_center Z;road_inner_right X;road_inner_right Y;road_inner_right Z;road_outer_right X;road_outer_right Y;road_outer_right Z
45;-190.8832;147.3878;0.2847;-187.7277;151.3181;0.41;-186.1499;153.2832;0.4736;-184.5721;155.2484;0.5371;-181.4166;159.1786;0.6621
46;-192.2014;148.43;0.2936;-189.0872;152.3962;0.4188;-187.5301;154.3794;0.485;-185.973;156.3625;0.5511;-182.8588;160.3288;0.676
47;-193.4881;149.4155;0.3058;-190.4482;153.4379;0.4277;-188.9283;155.4491;0.4952;-187.4083;157.4603;0.5627;-184.3683;161.4827;0.6878
48;-194.7296;150.3237;0.3216;-191.8106;154.4294;0.4366;-190.3511;156.4822;0.5026;-188.8917;158.535;0.5686;-185.9728;162.6407;0.6931
49;-195.912;151.1338;0.3246;-193.1746;155.3571;0.4456;-191.8059;157.4687;0.5088;-190.4372;159.5803;0.572;-187.6998;163.8036;0.6961
50;-197.0534;151.8434;0.3298;-194.5527;156.2059;0.4575;-193.3024;158.3872;0.5218;-192.052;160.5685;0.5861;-189.5514;164.9311;0.7045
51;-198.1716;152.4497;0.339;-195.9576;156.9608;0.4714;-194.8506;159.2164;0.5348;-193.7436;161.472;0.5983;-191.5296;165.9831;0.7285
52;-199.2848;152.9502;0.3481;-197.4019;157.6066;0.4827;-196.4605;159.9348;0.5433;-195.5192;162.263;0.604;-193.6363;166.9195;0.7419
53;-200.4108;153.3423;0.3572;-198.8984;158.1282;0.4894;-198.1422;160.5212;0.5484;-197.3861;162.9142;0.6074;-195.8738;167.7001;0.7363
54;-201.5493;153.6293;0.3717;-200.4373;158.5225;0.4937;-199.8813;160.9691;0.5545;-199.3252;163.4158;0.6153;-198.2132;168.3091;0.74
55;-202.7001;153.8144;0.3852;-202.0087;158.7865;0.5027;-201.663;161.2725;0.5636;-201.3173;163.7585;0.6245;-200.6259;168.7305;0.7491
56;-203.8627;153.9011;0.3899;-203.6029;158.9169;0.5167;-203.473;161.4248;0.5752;-203.3431;163.9327;0.6337;-203.0833;168.9485;0.7584
57;-205.0369;153.8926;0.3937;-205.2102;158.9108;0.5283;-205.2968;161.4199;0.5857;-205.3835;163.929;0.6431;-205.5568;168.9471;0.7678
58;-206.2046;153.7929;0.403;-206.8093;158.7726;0.5355;-207.1116;161.2625;0.594;-207.4139;163.7524;0.6526;-208.0185;168.7322;0.7774
59;-207.3479;153.6058;0.4124;-208.3789;158.507;0.5473;-208.8944;160.9576;0.6048;-209.4099;163.4082;0.6622;-210.4409;168.3093;0.7871
60;-208.4489;153.3353;0.4218;-209.898;158.1183;0.5547;-210.6225;160.5098;0.6133;-211.347;162.9013;0.672;-212.7961;167.6843;0.8071
