Loading track data from high_fidel_track.csv...
--------------------------------------------------------------------------------
SIM PHYSICS | MULTI-POINT VISION | FREE RACING LINE | AUTO-STOP
--------------------------------------------------------------------------------
C:\Users\zinov\AppData\Roaming\Python\Python312\site-packages\stable_baselines3\common\on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
...
Gen  7052 | Result: off_track    | Prog:   4.9% | Reward:   2.82 | Max Spd:  19.2 m/s | Time:  26.7s
Gen  7053 | Result: off_track    | Prog:   1.0% | Reward:   0.29 | Max Spd:   7.3 m/s | Time:  21.9s
Gen  7054 | Result: off_track    | Prog:   2.7% | Reward:   1.59 | Max Spd:  19.0 m/s | Time:  11.1s
Gen  7055 | Result: off_track    | Prog:   0.5% | Reward:   0.05 | Max Spd:   6.5 m/s | Time:  15.1s
Gen  7056 | Result: off_track    | Prog:   0.3% | Reward:   0.06 | Max Spd:   9.3 m/s | Time:   7.7s
Gen  7057 | Result: off_track    | Prog:   2.0% | Reward:   1.17 | Max Spd:  18.2 m/s | Time:  10.9s
Gen  7058 | Result: off_track    | Prog:   1.3% | Reward:   0.69 | Max Spd:  10.6 m/s | Time:  13.0s
Gen  7059 | Result: off_track    | Prog:   5.1% | Reward:   2.82 | Max Spd:  21.2 m/s | Time:  29.7s
Gen  7060 | Result: off_track    | Prog:   8.2% | Reward:   4.77 | Max Spd:  20.0 m/s | Time:  41.9s
Gen  7061 | Result: off_track    | Prog:   4.1% | Reward:   2.32 | Max Spd:  15.7 m/s | Time:  23.0s
Gen  7062 | Result: off_track    | Prog:   0.5% | Reward:   0.25 | Max Spd:  12.6 m/s | Time:   3.8s
Gen  7063 | Result: off_track    | Prog:   4.9% | Reward:   2.90 | Max Spd:  22.2 m/s | Time:  24.0s
Gen  7064 | Result: off_track    | Prog:   2.1% | Reward:   1.12 | Max Spd:  20.3 m/s | Time:  15.5s
Gen  7065 | Result: off_track    | Prog:   1.8% | Reward:   0.96 | Max Spd:  12.9 m/s | Time:  13.7s
Gen  7066 | Result: off_track    | Prog:   0.2% | Reward:   0.05 | Max Spd:   7.1 m/s | Time:   4.4s
