x_m;y_m;w_tr_right_m;w_tr_left_m;z_m
741.44368430;-2011.75038000;6.00000000;6.00000000;28.00000000
748.07729870;-2009.58039000;6.00000000;6.00000000;27.60000000
754.55358460;-2006.78853000;6.00000000;6.00000000;27.30000000
760.84077830;-2003.24966000;6.00000000;6.00000000;27.10000000
766.19656260;-1997.82517000;6.00000000;6.00000000;26.90000000
771.19099680;-1991.66911000;6.00000000;6.00000000;26.60000000
775.97325200;-1985.26576000;6.00000000;6.00000000;26.40000000
780.00446100;-1977.98650000;6.00000000;6.00000000;26.10000000
784.03566310;-1970.70723000;6.00000000;6.00000000;25.70000000
786.57097850;-1962.37665000;6.00000000;6.00000000;25.30000000
788.92567980;-1953.91916000;6.00000000;6.00000000;24.80000000
791.50830940;-1945.57825000;6.00000000;6.00000000;24.20000000
794.12007430;-1937.25225000;6.00000000;6.00000000;23.90000000
796.65507690;-1928.88600000;6.00000000;6.00000000;23.60000000
799.10664700;-1920.47622000;6.00000000;6.00000000;23.30000000
801.55820610;-1912.06644000;6.00000000;6.00000000;23.00000000
804.00986570;-1903.65650000;6.00000000;6.00000000;22.60000000
808.04337680;-1896.68252000;6.00000000;6.00000000;22.30000000
812.59424120;-1889.95504000;6.00000000;6.00000000;22.20000000
818.66673990;-1885.85450000;6.00000000;6.00000000;21.90000000
825.07959410;-1883.12883000;6.00000000;6.00000000;21.70000000
831.86540020;-1882.10664000;6.00000000;6.00000000;21.40000000
838.69715610;-1882.13103000;6.00000000;6.00000000;21.10000000
845.21249160;-1884.38558000;6.00000000;6.00000000;20.80000000
851.36310750;-1888.13075000;6.00000000;6.00000000;20.50000000
856.86789690;-1893.42511000;6.00000000;6.00000000;20.10000000
862.45822800;-1898.35919000;6.00000000;6.00000000;19.70000000
867.08367800;-1904.97284000;6.00000000;6.00000000;19.30000000
871.70843160;-1911.58711000;6.00000000;6.00000000;18.80000000
875.81009220;-1918.77637000;6.00000000;6.00000000;18.30000000
879.91174600;-1925.96564000;6.00000000;6.00000000;17.80000000
884.01339360;-1933.15476000;6.00000000;6.00000000;17.60000000
887.76686570;-1940.66726000;6.00000000;6.00000000;17.30000000
891.51658860;-1948.18331000;6.00000000;6.00000000;17.00000000
894.97985750;-1955.93390000;6.00000000;6.00000000;16.70000000
898.39893010;-1963.71907000;6.00000000;6.00000000;16.50000000
901.67586570;-1971.61024000;6.00000000;6.00000000;16.30000000
904.95291000;-1979.50157000;6.00000000;6.00000000;16.00000000
908.02244830;-1987.53527000;6.00000000;6.00000000;15.70000000
910.91767070;-1995.67716000;6.00000000;6.00000000;15.20000000
913.46982640;-2004.02191000;6.00000000;6.00000000;14.70000000
916.02197180;-2012.36650000;6.00000000;6.00000000;14.20000000
918.43742060;-2020.78146000;6.00000000;6.00000000;13.80000000
920.38988290;-2029.38772000;6.00000000;6.00000000;13.40000000
922.00835120;-2038.13047000;6.00000000;6.00000000;13.20000000
923.62621400;-2046.87338000;6.00000000;6.00000000;13.00000000
